Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg
2025-08-10T00:34:59.347499,8.480,25.07,588.32,25.64,3.26,3.27,3.25,3.29,0,164081.0
2025-08-10T00:34:59.349515,8.482,25.03,590.95,25.67,3.26,3.27,3.24,3.29,0,164081.0
2025-08-10T00:34:59.349515,8.482,25.07,591.72,25.67,3.27,3.27,3.25,3.29,0,164081.0
2025-08-10T00:34:59.678124,8.811,25.12,590.95,25.69,3.26,3.27,3.25,3.27,0,164081.0
2025-08-10T00:34:59.678124,8.811,25.07,588.32,25.67,3.26,3.27,3.21,3.33,0,164081.0
2025-08-10T00:35:00.012567,9.145,25.07,587.29,25.69,3.26,3.27,3.25,3.29,0,164081.0
2025-08-10T00:35:00.344039,9.476,25.07,584.94,25.67,3.26,3.27,3.24,3.29,0,164081.0
2025-08-10T00:35:00.346552,9.479,25.05,586.18,25.62,3.26,3.27,3.25,3.27,0,164081.0
2025-08-10T00:35:00.346552,9.479,25.07,586.18,25.64,3.25,3.27,3.24,3.29,0,164081.0
2025-08-10T00:35:00.660914,9.793,25.05,584.94,25.71,3.26,3.27,3.25,3.27,0,164081.0
2025-08-10T00:35:00.660914,9.793,25.07,588.32,25.69,3.27,3.26,3.25,3.29,0,164081.0
2025-08-10T00:35:00.992870,10.125,25.14,586.18,25.62,3.27,3.26,3.25,3.28,0,164081.0
2025-08-10T00:35:00.992870,10.125,25.05,587.29,25.67,3.26,3.27,3.25,3.28,0,164081.0
2025-08-10T00:35:01.324162,10.457,25.05,586.18,25.64,3.25,3.27,3.25,3.28,0,0.7
2025-08-10T00:35:01.326176,10.459,25.07,586.18,25.67,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:35:01.326176,10.459,25.03,584.94,25.67,3.26,3.27,3.24,3.30,0,0.7
2025-08-10T00:35:01.656076,10.789,25.07,586.18,25.67,3.27,3.27,3.23,3.30,0,0.7
