Timestamp,Elapsed_Time_s,Temp1,Temp2,Temp3,Volt1,Volt2,Volt3,Volt4,Actual_rdr_deg,Set_rdr_deg,IMU_roll,IMU_pitch,IMU_integral,IMU_derivative,IMU_heading,Desired_heading,Data_wind_spd,Data_wind_dir
2025-11-08T03:17:27.595782,18.459,20.12,565.38,20.38,3.23,3.24,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,2.0
2025-11-08T03:17:27.887582,18.751,20.19,508.41,20.38,3.24,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:28.184162,19.048,20.12,571.46,20.34,3.24,3.23,3.23,3.25,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:28.476553,19.340,20.14,565.38,20.27,3.24,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:28.768679,19.632,20.12,508.41,20.34,3.28,3.19,3.22,3.28,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:29.062477,19.926,20.14,565.38,20.38,3.23,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:29.353042,20.216,20.1,577.97,20.34,3.23,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:29.653891,20.517,20.14,577.97,20.34,3.24,3.22,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,93.0
2025-11-08T03:17:29.957839,20.821,20.14,565.38,20.38,3.23,3.24,3.21,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,47.0
2025-11-08T03:17:30.262581,21.126,20.14,565.38,20.36,3.23,3.24,3.18,3.31,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,228.0
2025-11-08T03:17:30.561570,21.425,20.12,571.46,20.47,3.23,3.24,3.21,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,228.0
2025-11-08T03:17:30.861155,21.725,20.16,591.72,20.55,3.23,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:31.207240,22.071,20.14,571.46,20.38,3.23,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:31.550696,22.414,20.14,571.46,20.38,3.23,3.24,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,139.0
2025-11-08T03:17:31.892109,22.756,20.14,571.46,20.34,3.24,3.23,3.21,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,139.0
2025-11-08T03:17:32.215822,23.079,20.12,508.41,20.29,3.23,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,139.0
2025-11-08T03:17:32.499663,23.363,20.14,571.46,20.4,3.24,3.23,3.22,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:32.772421,23.636,20.14,577.97,20.34,3.24,3.22,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:33.045097,23.908,20.12,571.46,20.31,3.24,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:33.317723,24.181,20.14,583.56,20.36,3.23,3.24,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:33.587125,24.451,20.14,508.41,20.34,3.23,3.23,3.23,3.25,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:33.861687,24.725,20.1,571.46,20.36,3.23,3.24,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:34.140009,25.003,20.14,571.46,20.34,3.25,3.22,3.23,3.23,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:34.425429,25.289,20.14,565.38,20.38,3.23,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,1.0,143.0
2025-11-08T03:17:34.712447,25.576,20.14,575.21,20.36,3.23,3.23,3.23,3.21,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,1.0,156.0
2025-11-08T03:17:35.001115,25.865,20.12,508.41,20.34,3.24,3.24,3.22,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,1.0,154.0
2025-11-08T03:17:35.287318,26.151,20.12,565.38,20.1,3.23,3.24,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,129.0
2025-11-08T03:17:35.568411,26.432,20.14,565.38,20.31,3.24,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:35.850454,26.714,20.12,508.41,20.34,3.24,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,94.0
2025-11-08T03:17:36.135147,26.999,20.16,565.38,20.31,3.24,3.23,3.23,3.25,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:36.426816,27.290,20.12,565.38,20.31,3.23,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
